chr	start	end	pct_AST	pct_nonAST	mean_AST	mean_nonAST	log2FC
chr18	25630117	25630990	0	0.006	0	0.012	-1.143
chr18	25667801	25668706	0.006	0.019	0.013	0.039	-1.106
chr18	25693822	25694740	0	0.004	0	0.009	-0.948
chr18	25715172	25716105	0	0.007	0	0.015	-1.315
chr18	25726619	25727472	0.019	0.009	0.05	0.018	1.1
chr18	25736819	25737713	0.006	0.005	0.013	0.008	0.298
chr18	25752637	25753441	0	0.01	0	0.019	-1.539
chr18	25753576	25754440	0	0.007	0	0.012	-1.113
chr18	25829190	25830045	0	0.007	0	0.015	-1.315
chr18	25904483	25905436	0	0.006	0	0.01	-1.016
chr18	25998815	25999719	0.013	0.013	0.019	0.027	-0.375
chr18	26014832	26015724	0.038	0.014	0.094	0.031	1.359
chr18	26177656	26178568	0	0.004	0	0.012	-1.113
chr18	26377090	26378013	0.013	0.003	0.025	0.008	0.974
chr18	26387331	26388258	0.006	0.005	0.013	0.01	0.192
chr18	26426364	26427250	0	0.004	0	0.009	-0.948
chr18	26487419	26488341	0.006	0.004	0.013	0.008	0.335
chr18	26501850	26502739	0.006	0.002	0.013	0.01	0.159
chr18	26515896	26516771	0.019	0.005	0.031	0.007	1.288
chr18	26523988	26524825	0	0.006	0	0.011	-1.081
chr18	26541195	26542059	0	0.006	0	0.011	-1.049
chr18	26584497	26585045	0.006	0.004	0.006	0.007	-0.059
chr18	26753216	26754147	0.006	0.013	0.013	0.031	-0.849
chr18	26997379	26998251	0.013	0.004	0.025	0.009	0.865
chr18	27106425	27107250	0	0.003	0	0.006	-0.682
chr18	27200452	27201373	0	0.003	0	0.01	-1.016
chr18	27693300	27694279	0.006	0.004	0.013	0.009	0.227
chr18	27836519	27837431	0.006	0.014	0.013	0.029	-0.782
chr18	27847403	27848305	0.006	0.004	0.038	0.012	1.112
chr18	27988791	27989607	0.013	0.006	0.025	0.012	0.701
chr18	28060469	28061486	0	0.005	0	0.013	-1.203
chr18	28077412	28078294	0.038	0.026	0.082	0.056	0.48
chr18	28181616	28182505	0.006	0.006	0.006	0.012	-0.409
chr18	28208625	28209497	0	0.004	0	0.007	-0.763
chr18	28346772	28347692	0	0.005	0	0.009	-0.913
chr18	28481382	28482218	0.006	0.004	0.006	0.01	-0.312
chr18	28604512	28605198	0	0.005	0	0.01	-0.983
chr18	28620208	28621036	0.006	0.003	0.013	0.005	0.624
chr18	28661902	28662809	0	0.007	0	0.014	-1.288
chr18	28673580	28674462	0.013	0.003	0.038	0.007	1.492
chr18	28724931	28725818	0.013	0.013	0.025	0.026	-0.017
chr18	28736901	28737747	0	0.002	0	0.006	-0.64
chr18	28940038	28940892	0.006	0.004	0.013	0.008	0.335
chr18	28972969	28973889	0	0.003	0	0.006	-0.682
chr18	29090209	29091183	0	0.004	0	0.008	-0.877
chr18	29213677	29214509	0.006	0.001	0.006	0.002	0.402
chr18	29336005	29336929	0	0.003	0	0.007	-0.802
chr18	29344371	29345261	0.013	0.005	0.038	0.012	1.112
chr18	29362749	29363625	0	0.005	0	0.012	-1.113
chr18	29418050	29418962	0.006	0.004	0.013	0.009	0.227
chr18	29451675	29452510	0	0.005	0	0.01	-1.016
chr18	29524459	29525309	0.013	0.01	0.031	0.019	0.535
chr18	29578708	29579654	0.006	0.007	0.013	0.013	-0.057
chr18	29600642	29601519	0	0.005	0	0.012	-1.143
chr18	29602374	29603137	0.013	0.004	0.019	0.007	0.806
chr18	29632917	29633546	0.013	0.005	0.019	0.01	0.547
chr18	29638381	29639283	0.025	0.02	0.063	0.04	0.558
chr18	29737652	29738544	0.013	0.003	0.019	0.007	0.806
chr18	29750204	29751126	0.019	0.005	0.038	0.007	1.453
chr18	29823362	29824169	0.006	0.005	0.006	0.009	-0.245
chr18	29869300	29870208	0	0.004	0	0.008	-0.877
chr18	29902177	29902952	0.013	0.003	0.019	0.005	0.934
chr18	29936400	29937345	0	0.006	0	0.012	-1.113
chr18	30031488	30032426	0	0.006	0	0.018	-1.468
chr18	30045687	30046589	0.044	0.044	0.088	0.088	0.003
chr18	30071334	30072173	0	0.012	0	0.022	-1.671
chr18	30084512	30085359	0.006	0.003	0.006	0.005	0.108
chr18	30197056	30197931	0	0.004	0	0.007	-0.802
chr18	30218077	30219043	0.019	0.013	0.038	0.026	0.406
chr18	30272421	30273312	0.013	0.013	0.025	0.025	0.021
chr18	30311523	30312362	0	0.012	0	0.024	-1.773
chr18	30325989	30326816	0.019	0.012	0.05	0.024	0.839
chr18	30365388	30366293	0.025	0.025	0.05	0.049	0.025
chr18	30444258	30445158	0.006	0.002	0.013	0.006	0.535
chr18	30519174	30520116	0.019	0.005	0.038	0.01	1.272
chr18	30529943	30530803	0.057	0.025	0.119	0.044	1.257
chr18	30571841	30572714	0.006	0.005	0.025	0.011	0.733
chr18	30649962	30650832	0	0.004	0	0.01	-1.016
chr18	30678488	30679431	0	0.002	0	0.004	-0.504
chr18	31077262	31078120	0.006	0.011	0.013	0.022	-0.496
chr18	31441385	31442258	0	0.01	0	0.02	-1.562
chr18	31446795	31447791	0	0.011	0	0.021	-1.65
chr18	31515136	31515964	0.013	0.012	0.019	0.022	-0.163
chr18	31609330	31610270	0.025	0.013	0.05	0.028	0.653
chr18	31628086	31628963	0.013	0.006	0.044	0.011	1.352
chr18	31633850	31634432	0.038	0.041	0.057	0.078	-0.404
chr18	31634558	31635332	0.101	0.078	0.208	0.157	0.38
chr18	31759308	31760148	0.013	0.027	0.038	0.049	-0.312
chr18	31788662	31789574	0	0.012	0	0.025	-1.792
chr18	31803782	31804606	0.006	0.004	0.013	0.008	0.298
chr18	31879836	31880689	0	0.005	0	0.013	-1.232
chr18	31910522	31911209	0.006	0.01	0.013	0.017	-0.244
chr18	31918061	31918923	0	0.01	0	0.021	-1.65
chr18	31919485	31920357	0.006	0.004	0.038	0.009	1.342
chr18	31946353	31947154	0.006	0.003	0.006	0.006	0.064
chr18	32067465	32068247	0.013	0.014	0.019	0.03	-0.462
chr18	32147186	32148076	0.025	0.013	0.044	0.03	0.443
chr18	32162514	32163416	0.038	0.034	0.075	0.069	0.117
chr18	32239825	32240735	0.006	0.01	0.013	0.021	-0.475
chr18	32284872	32286050	0.006	0.015	0.013	0.031	-0.866
chr18	32376737	32377610	0.006	0.028	0.013	0.061	-1.66
chr18	32391165	32392031	0.006	0.005	0.013	0.01	0.159
chr18	32418538	32419431	0	0.013	0	0.029	-1.957
chr18	32432051	32432918	0	0.01	0	0.021	-1.629
chr18	32440979	32441833	0.006	0.013	0.019	0.023	-0.183
chr18	32484733	32485599	0.013	0.021	0.031	0.046	-0.423
chr18	32559206	32560145	0.006	0.004	0.013	0.007	0.412
chr18	32671611	32672380	0	0.003	0	0.005	-0.551
chr18	32713828	32714761	0.006	0.005	0.013	0.011	0.094
chr18	32738537	32739451	0	0.003	0	0.007	-0.763
chr18	32816375	32817287	0.006	0.009	0.006	0.018	-0.764
chr18	32836906	32837820	0.013	0.021	0.019	0.043	-0.87
chr18	32894150	32894982	0.013	0.012	0.025	0.025	0.002
chr18	32920024	32920837	0	0.007	0	0.011	-1.081
chr18	32938824	32939732	0.031	0.017	0.044	0.036	0.224
chr18	32990013	32990947	0.013	0.004	0.025	0.009	0.901
chr18	33077318	33078074	0.006	0.004	0.013	0.007	0.452
chr18	33213535	33214416	0.057	0.031	0.113	0.063	0.76
chr18	33258955	33259825	0.006	0.007	0.013	0.012	0.032
chr18	33276717	33277623	0.006	0.001	0.025	0.002	1.568
chr18	33336539	33337405	0	0.005	0	0.009	-0.948
chr18	33386112	33387081	0	0.004	0	0.01	-0.983
chr18	33447606	33448507	0	0.005	0	0.009	-0.913
chr18	33463510	33464383	0.019	0.013	0.038	0.024	0.502
chr18	33652363	33653137	0	0.007	0	0.013	-1.173
chr18	33789729	33790708	0	0.007	0	0.013	-1.173
chr18	33794437	33795324	0.063	0.025	0.107	0.051	0.935
chr18	33806611	33807481	0.006	0.012	0.006	0.022	-0.988
chr18	33829763	33830726	0.006	0.006	0.006	0.012	-0.409
chr18	33833123	33834024	0	0.004	0	0.008	-0.877
chr18	33850361	33851208	0.013	0.009	0.019	0.018	0.037
chr18	33932258	33933136	0.025	0.005	0.05	0.012	1.48
chr18	34006949	34007840	0.025	0.014	0.05	0.031	0.552
chr18	34050027	34050921	0	0.007	0	0.013	-1.232
chr18	34079734	34080644	0.006	0.005	0.013	0.01	0.159
chr18	34162612	34163502	0	0.001	0	0.004	-0.456
chr18	34167004	34167891	0	0.009	0	0.021	-1.65
chr18	34220439	34221385	0.006	0.007	0.013	0.014	-0.113
chr18	34247354	34248111	0	0.009	0	0.017	-1.419
chr18	34258966	34259845	0	0.003	0	0.006	-0.64
chr18	34330623	34331539	0.006	0.006	0.013	0.01	0.159
chr18	34362044	34362974	0.006	0.003	0.038	0.006	1.573
chr18	34372870	34373748	0	0.009	0	0.017	-1.419
chr18	34402078	34402968	0.006	0.005	0.013	0.011	0.094
chr18	34408971	34409866	0.019	0.007	0.038	0.017	0.811
chr18	34506430	34507329	0.019	0.014	0.038	0.032	0.198
chr18	34515288	34516092	0	0.002	0	0.005	-0.551
chr18	34537941	34538832	0.013	0.01	0.038	0.021	0.627
chr18	34572366	34573234	0.006	0.006	0.013	0.013	-0.057
chr18	34624327	34625152	0.006	0.007	0.006	0.013	-0.528
chr18	34651298	34652116	0.006	0.014	0.019	0.031	-0.495
chr18	34662969	34663773	0.006	0.007	0.013	0.016	-0.219
chr18	34719768	34720692	0	0.006	0	0.013	-1.173
chr18	34726578	34727432	0.006	0.008	0.013	0.016	-0.219
chr18	34751218	34752108	0.044	0.024	0.101	0.051	0.856
chr18	34758558	34759450	0	0.007	0	0.015	-1.342
chr18	34776708	34777514	0.013	0.007	0.025	0.015	0.499
chr18	34808787	34809666	0	0.008	0	0.018	-1.492
chr18	34840282	34841099	0.006	0.005	0.019	0.01	0.547
chr18	34849877	34850779	0.025	0.013	0.05	0.026	0.725
chr18	34859512	34860302	0.05	0.016	0.101	0.032	1.395
chr18	34860466	34861348	0.019	0.028	0.05	0.06	-0.205
chr18	34886990	34887905	0.019	0.005	0.038	0.009	1.342
chr18	34931637	34932549	0.006	0.018	0.013	0.04	-1.146
chr18	34954297	34955156	0.013	0.011	0.025	0.022	0.122
chr18	34982450	34983283	0.006	0.003	0.013	0.007	0.412
chr18	35021601	35022519	0.006	0.008	0.013	0.013	-0.057
chr18	35045195	35046128	0.006	0.005	0.013	0.011	0.094
chr18	35118406	35119327	0.006	0.005	0.013	0.01	0.192
chr18	35233482	35234366	0	0.003	0	0.005	-0.596
chr18	35239951	35240841	0.006	0.004	0.025	0.008	0.974
chr18	35339620	35340536	0.006	0.003	0.013	0.007	0.373
chr18	35358667	35359530	0	0.002	0	0.005	-0.551
chr18	35482211	35482985	0.013	0.003	0.013	0.007	0.452
chr18	35498452	35499268	0.019	0.019	0.031	0.037	-0.173
chr18	35539792	35540724	0.006	0.014	0.013	0.031	-0.849
chr18	35552904	35553783	0.013	0.015	0.031	0.034	-0.084
chr18	35561764	35562503	0	0.008	0	0.017	-1.444
chr18	35598281	35599080	0	0.007	0	0.013	-1.173
chr18	35654758	35655619	0	0.007	0	0.013	-1.203
chr18	35661796	35662678	0.006	0.007	0.013	0.015	-0.14
chr18	35675900	35676806	0	0.005	0	0.01	-0.983
chr18	35702651	35703561	0.019	0.007	0.044	0.016	1.04
chr18	35730018	35730905	0.038	0.012	0.094	0.023	1.67
chr18	35748350	35749257	0	0.005	0	0.01	-1.016
chr18	35751828	35752724	0.025	0.019	0.044	0.036	0.238
chr18	35770922	35771821	0	0.006	0	0.011	-1.081
chr18	35836838	35837763	0	0.003	0	0.007	-0.763
chr18	35874768	35875647	0	0.003	0	0.007	-0.763
chr18	35898778	35899656	0	0.006	0	0.016	-1.393
chr18	35932538	35933519	0	0.005	0	0.009	-0.948
chr18	35959461	35960210	0	0.009	0	0.014	-1.26
chr18	35975401	35976180	0.006	0.008	0.006	0.016	-0.69
chr18	36018017	36018689	0.006	0.007	0.013	0.011	0.126
chr18	36018803	36019358	0	0.006	0	0.012	-1.143
chr18	36025418	36026255	0.006	0.005	0.013	0.008	0.298
chr18	36030750	36031800	0.006	0.006	0.013	0.013	-0.028
chr18	36121976	36122881	0	0.007	0	0.017	-1.444
chr18	36135334	36136235	0	0.003	0	0.006	-0.682
chr18	36196944	36197731	0	0.007	0	0.013	-1.203
chr18	36241898	36242810	0.013	0.003	0.025	0.007	1.051
chr18	36280652	36281578	0.025	0.013	0.044	0.027	0.548
chr18	36286181	36287087	0	0.007	0	0.015	-1.342
chr18	36328461	36329370	0.038	0.025	0.088	0.058	0.535
chr18	36348271	36349172	0.025	0.011	0.05	0.022	0.9
chr18	36386076	36386998	0.006	0.004	0.013	0.009	0.227
chr18	36454013	36454915	0.013	0.004	0.025	0.008	0.937
chr18	36492593	36493444	0.006	0.007	0.013	0.014	-0.085
chr18	36515398	36516251	0.013	0.01	0.025	0.019	0.298
chr18	36521833	36522739	0	0.008	0	0.018	-1.468
chr18	36525237	36526092	0	0.003	0	0.007	-0.763
chr18	36529492	36530335	0	0.007	0	0.014	-1.288
chr18	36541166	36542020	0.013	0.007	0.038	0.014	0.995
chr18	36559961	36560748	0.063	0.035	0.119	0.067	0.742
chr18	36669877	36670793	0.025	0.006	0.069	0.013	1.782
chr18	36678968	36679869	0.019	0.01	0.031	0.018	0.583
chr18	36725573	36726375	0.006	0.006	0.013	0.013	0.002
chr18	36734568	36735448	0.006	0.02	0.013	0.039	-1.106
chr18	36744146	36745070	0.006	0.006	0.013	0.011	0.126
chr18	36759741	36760655	0.013	0.01	0.025	0.023	0.081
chr18	36782783	36783630	0	0.007	0	0.015	-1.342
chr18	36793408	36794324	0.019	0.016	0.038	0.031	0.214
chr18	36801319	36802207	0.05	0.013	0.138	0.027	1.987
chr18	36802805	36803550	0.006	0.006	0.013	0.01	0.192
chr18	37089512	37090397	0.013	0.012	0.019	0.027	-0.357
chr18	37143526	37144512	0.006	0.01	0.006	0.02	-0.903
chr18	37148583	37149435	0.006	0.003	0.013	0.004	0.671
chr18	37171975	37172902	0.019	0.007	0.038	0.014	0.967
chr18	37177984	37178914	0.031	0.01	0.069	0.02	1.423
chr18	37179977	37180780	0	0.004	0	0.01	-1.016
chr18	37216864	37217668	0.019	0.005	0.031	0.007	1.249
chr18	37217860	37218703	0.013	0.006	0.019	0.011	0.48
chr18	37643845	37644708	0.006	0.011	0.006	0.024	-1.069
chr18	37655197	37656019	0	0.003	0	0.006	-0.682
chr18	37805853	37806762	0	0.004	0	0.009	-0.913
chr18	37823919	37824826	0	0.004	0	0.008	-0.84
chr18	37851839	37852732	0	0.013	0	0.03	-2.008
chr18	37876992	37877871	0	0.01	0	0.02	-1.585
chr18	37879887	37880774	0.025	0.009	0.05	0.017	1.174
chr18	37883248	37884108	0.006	0.006	0.013	0.011	0.126
chr18	37886828	37887661	0.006	0.006	0.006	0.013	-0.469
chr18	37907826	37908754	0.025	0.008	0.044	0.016	1.066
chr18	37935077	37935971	0.05	0.026	0.107	0.052	0.914
chr18	37954539	37955481	0.019	0.01	0.057	0.021	1.086
chr18	37969475	37970322	0.019	0.01	0.031	0.021	0.423
chr18	37984040	37984923	0.025	0.008	0.044	0.017	0.99
chr18	38013503	38014407	0	0.007	0	0.014	-1.26
chr18	38049715	38050641	0.006	0.008	0.013	0.017	-0.244
chr18	38067747	38068632	0	0.006	0	0.015	-1.342
chr18	38088967	38089873	0.006	0.003	0.038	0.007	1.453
chr18	38144444	38145293	0.013	0.008	0.019	0.017	0.111
chr18	38145926	38146784	0.006	0.004	0.013	0.007	0.373
chr18	38158695	38159592	0	0.002	0	0.007	-0.723
chr18	38199785	38200658	0.013	0.007	0.019	0.016	0.162
chr18	38240720	38241589	0.019	0.006	0.038	0.013	1.082
chr18	38249973	38250860	0.025	0.013	0.075	0.031	1.055
chr18	38296314	38297172	0.025	0.014	0.05	0.035	0.412
chr18	38338245	38338697	0.031	0.015	0.075	0.024	1.342
chr18	38349821	38350679	0.031	0.011	0.057	0.024	0.963
chr18	38371738	38372598	0.013	0.005	0.025	0.01	0.831
chr18	38380099	38380992	0.013	0.004	0.025	0.007	1.091
chr18	38384655	38385534	0.006	0.005	0.013	0.008	0.298
chr18	38418523	38419383	0.013	0.008	0.025	0.018	0.346
chr18	38494499	38495394	0.006	0.006	0.006	0.011	-0.345
chr18	38514949	38515797	0	0.003	0	0.005	-0.596
chr18	38601874	38602778	0.006	0.003	0.013	0.006	0.493
chr18	38631422	38632362	0.019	0.005	0.063	0.01	1.883
chr18	38684020	38684799	0	0.004	0	0.007	-0.802
chr18	38700128	38701015	0.038	0.005	0.088	0.009	2.345
chr18	38742401	38743273	0.013	0.003	0.025	0.005	1.263
chr18	38767576	38768356	0	0.004	0	0.009	-0.948
chr18	38768547	38769322	0	0.004	0	0.008	-0.877
chr18	38783399	38784372	0	0.003	0	0.005	-0.596
chr18	38801917	38802792	0.006	0.005	0.013	0.008	0.298
chr18	38855372	38856320	0.013	0.01	0.025	0.022	0.122
chr18	38918316	38919090	0.006	0.005	0.013	0.011	0.126
chr18	38930064	38930995	0.006	0.009	0.013	0.019	-0.341
chr18	38932505	38933311	0	0.004	0	0.008	-0.84
chr18	38943592	38944425	0	0.009	0	0.018	-1.468
chr18	38992567	38993475	0.025	0.031	0.038	0.064	-0.626
chr18	39033490	39034394	0.006	0.002	0.013	0.004	0.671
chr18	39091139	39092003	0	0.003	0	0.007	-0.802
chr18	39111131	39112009	0.013	0.006	0.025	0.013	0.641
chr18	39137180	39138059	0.013	0.007	0.025	0.017	0.37
chr18	39159883	39160607	0.006	0.004	0.013	0.007	0.452
chr18	39187527	39188485	0.013	0.007	0.031	0.018	0.583
chr18	39196007	39196879	0.006	0.002	0.013	0.007	0.412
chr18	39234131	39235046	0	0.004	0	0.01	-0.983
chr18	39292463	39293361	0.013	0.003	0.038	0.007	1.453
chr18	39586680	39587575	0	0.004	0	0.011	-1.081
chr18	39594509	39595423	0	0.005	0	0.009	-0.913
chr18	39624017	39624948	0	0.006	0	0.013	-1.232
chr18	39855360	39856274	0.006	0.007	0.013	0.015	-0.167
chr18	39867205	39868185	0.019	0.007	0.038	0.013	1.024
chr18	39875617	39876591	0.019	0.001	0.044	0.003	2.079
chr18	39900833	39901726	0.031	0.003	0.057	0.006	2.096
chr18	39929693	39930286	0.013	0.006	0.025	0.011	0.765
chr18	40028899	40029768	0.019	0.003	0.031	0.007	1.328
chr18	40178466	40179348	0.013	0.007	0.025	0.013	0.582
chr18	40219037	40219935	0.038	0.028	0.075	0.066	0.178
chr18	40256456	40257255	0.013	0.006	0.025	0.013	0.582
chr18	40273409	40274252	0.019	0.004	0.031	0.006	1.412
chr18	40307785	40308682	0.019	0.009	0.025	0.017	0.395
chr18	40318257	40319065	0	0.008	0	0.017	-1.419
chr18	40351824	40352691	0.013	0.003	0.025	0.005	1.218
chr18	40432113	40432952	0.006	0.005	0.013	0.012	0.032
chr18	40454909	40455816	0.031	0.013	0.075	0.031	1.055
chr18	40512331	40513256	0.006	0.002	0.013	0.007	0.452
chr18	40608943	40609841	0.013	0.003	0.025	0.007	1.012
chr18	40929455	40930380	0	0.004	0	0.009	-0.913
chr18	41563436	41564277	0	0.003	0	0.006	-0.682
chr18	41853985	41854883	0.006	0.007	0.038	0.014	0.967
chr18	41922518	41923382	0.006	0.014	0.013	0.029	-0.799
chr18	41950769	41951614	0.006	0.009	0.006	0.015	-0.638
chr18	41991602	41992403	0.006	0.004	0.013	0.01	0.192
chr18	42009313	42010110	0.019	0.011	0.038	0.021	0.627
chr18	42010719	42011568	0.019	0.019	0.038	0.038	0.002
chr18	42052259	42053180	0	0.008	0	0.019	-1.516
chr18	42210945	42211795	0	0.007	0	0.015	-1.315
chr18	42218860	42219715	0.006	0.005	0.013	0.011	0.126
chr18	42261747	42262642	0.063	0.026	0.132	0.057	1.091
chr18	42274879	42275741	0.031	0.024	0.05	0.05	0.003
chr18	42343000	42343971	0.013	0.012	0.025	0.027	-0.09
chr18	42467504	42468340	0.019	0.013	0.038	0.031	0.214
chr18	42510925	42511820	0.057	0.039	0.138	0.083	0.678
chr18	42589218	42590126	0.05	0.007	0.113	0.013	2.391
chr18	42592794	42593672	0.006	0.005	0.013	0.009	0.262
chr18	42601371	42602347	0.038	0.01	0.094	0.019	1.867
chr18	42644415	42645311	0	0.01	0	0.021	-1.629
chr18	42708410	42709284	0	0.006	0	0.011	-1.081
chr18	42723720	42724556	0.019	0.004	0.05	0.007	1.829
chr18	42899053	42899849	0.019	0.006	0.031	0.011	0.97
chr18	42978626	42979552	0	0.004	0	0.007	-0.802
chr18	42981657	42982535	0.019	0.007	0.031	0.013	0.82
chr18	43138618	43139458	0.019	0.004	0.038	0.008	1.415
chr18	43175360	43176278	0.006	0.012	0.013	0.026	-0.693
chr18	43207170	43208099	0.019	0.007	0.038	0.015	0.94
chr18	43216353	43217200	0	0.005	0	0.009	-0.948
chr18	43265469	43266255	0.006	0.003	0.013	0.009	0.227
chr18	43307721	43308514	0.013	0.004	0.025	0.007	1.051
chr18	43321748	43322649	0.025	0.013	0.05	0.025	0.8
chr18	43359848	43360766	0.013	0.009	0.025	0.02	0.207
chr18	43376098	43377019	0.006	0.004	0.013	0.007	0.373
chr18	43393118	43393973	0.025	0.015	0.063	0.029	0.892
chr18	43437742	43438600	0.025	0.018	0.044	0.035	0.253
chr18	43453247	43454114	0.025	0.002	0.05	0.006	1.91
chr18	43523104	43523990	0.013	0.01	0.025	0.021	0.185
chr18	43562714	43563533	0.006	0.005	0.013	0.01	0.159
chr18	43568788	43569666	0.006	0.01	0.013	0.024	-0.578
chr18	43606612	43607461	0.019	0.011	0.044	0.021	0.784
chr18	43632276	43633194	0	0.007	0	0.017	-1.419
chr18	43658349	43659137	0	0.005	0	0.012	-1.113
chr18	43668015	43669073	0	0.005	0	0.018	-1.492
chr18	43687203	43688115	0.019	0.013	0.031	0.023	0.318
chr18	43726659	43727579	0.057	0.017	0.113	0.043	1.211
chr18	43836091	43837002	0.038	0.013	0.088	0.025	1.482
chr18	43840581	43841436	0	0.003	0	0.006	-0.682
chr18	43874079	43874923	0	0.004	0	0.009	-0.913
chr18	43973196	43974105	0	0.003	0	0.005	-0.596
chr18	44030468	44031328	0.013	0.004	0.019	0.009	0.616
chr18	44038622	44039514	0.019	0.013	0.038	0.026	0.424
chr18	44097038	44097918	0.013	0.009	0.025	0.021	0.185
chr18	44169469	44170372	0	0.003	0	0.007	-0.802
chr18	44210013	44210754	0	0.007	0	0.013	-1.232
chr18	44251802	44252664	0.006	0.009	0.006	0.019	-0.835
chr18	44286521	44287427	0.013	0.012	0.05	0.026	0.725
chr18	44311160	44312022	0.013	0.003	0.013	0.008	0.298
chr18	44379992	44380850	0.019	0.025	0.038	0.051	-0.357
chr18	44393143	44393930	0.019	0.008	0.038	0.017	0.811
chr18	44400170	44401044	0	0.003	0	0.007	-0.723
chr18	44419002	44419921	0.019	0.002	0.063	0.006	2.226
chr18	44450673	44451469	0	0.002	0	0.005	-0.551
chr18	44518371	44519063	0	0.003	0	0.004	-0.504
chr18	44573223	44574119	0.006	0.005	0.013	0.01	0.159
chr18	44611630	44612486	0.006	0.004	0.013	0.008	0.335
chr18	44661675	44662622	0.006	0.003	0.006	0.006	0.022
chr18	44718153	44718996	0.013	0.003	0.025	0.006	1.174
chr18	44724447	44725215	0.006	0.011	0.013	0.024	-0.598
chr18	44744467	44745353	0	0.006	0	0.014	-1.26
chr18	44811817	44812863	0	0.005	0	0.009	-0.913
chr18	44828454	44829196	0.031	0.025	0.05	0.045	0.143
chr18	44843545	44844441	0.025	0.007	0.05	0.014	1.333
chr18	44915207	44916094	0.006	0.008	0.013	0.019	-0.364
chr18	44931027	44931949	0.013	0.013	0.038	0.027	0.369
chr18	45013959	45014846	0	0.005	0	0.009	-0.913
chr18	45015365	45016281	0	0.013	0	0.028	-1.922
chr18	45118940	45119816	0	0.006	0	0.012	-1.143
chr18	45267965	45268781	0.006	0.019	0.013	0.047	-1.335
chr18	45268919	45269694	0	0.013	0	0.021	-1.629
chr18	45375017	45375905	0	0.013	0	0.027	-1.904
chr18	45501647	45502730	0	0.012	0	0.026	-1.831
chr18	45525895	45526812	0.006	0.003	0.013	0.005	0.624
chr18	45555093	45556010	0.025	0.006	0.05	0.013	1.419
chr18	45557969	45558839	0.038	0.009	0.075	0.016	1.728
chr18	45606135	45607045	0.006	0.006	0.013	0.011	0.126
chr18	45643992	45644863	0.013	0.004	0.025	0.007	1.012
chr18	45677979	45678883	0.006	0.007	0.013	0.012	0.032
chr18	45911930	45912818	0.006	0.006	0.013	0.01	0.159
chr18	46101351	46102262	0.006	0.003	0.006	0.009	-0.245
chr18	46109162	46110026	0	0.006	0	0.013	-1.173
chr18	46138775	46139698	0.019	0.014	0.038	0.033	0.166
chr18	46152752	46153619	0.006	0.007	0.013	0.013	-0.028
chr18	46198310	46199156	0.006	0.01	0.013	0.02	-0.387
chr18	46280328	46281244	0	0.01	0	0.02	-1.607
chr18	46311477	46312393	0.013	0.012	0.025	0.023	0.081
chr18	46444056	46444979	0	0.005	0	0.008	-0.84
chr18	46464879	46465780	0.013	0.004	0.025	0.008	0.937
chr18	46525637	46526528	0.069	0.063	0.157	0.157	0.005
chr18	46558701	46559576	0.006	0.008	0.013	0.017	-0.244
chr18	46564412	46565327	0.006	0.008	0.006	0.017	-0.715
chr18	46573726	46574575	0.006	0.007	0.025	0.016	0.42
chr18	46597160	46598056	0.019	0.015	0.038	0.029	0.298
chr18	46601190	46602098	0.006	0.01	0.013	0.02	-0.387
chr18	46636372	46637116	0.006	0.005	0.013	0.009	0.262
chr18	46727016	46727807	0	0.005	0	0.008	-0.877
chr18	46728026	46728854	0.006	0.007	0.013	0.014	-0.113
chr18	46741239	46742177	0.013	0.01	0.025	0.021	0.185
chr18	46742307	46742745	0	0.004	0	0.008	-0.84
chr18	46747808	46748725	0.006	0.004	0.025	0.007	1.012
chr18	46798325	46799150	0.006	0.007	0.013	0.011	0.126
chr18	46848927	46849743	0.006	0.006	0.006	0.012	-0.409
chr18	46889785	46890617	0.013	0.002	0.044	0.004	1.929
chr18	46908866	46909757	0.013	0.013	0.025	0.026	-0.036
chr18	46920131	46920974	0	0.005	0	0.013	-1.232
chr18	46947194	46948121	0.025	0.007	0.05	0.015	1.251
chr18	46958472	46959365	0.025	0.014	0.05	0.032	0.519
chr18	47036093	47036897	0	0.002	0	0.004	-0.456
chr18	47151100	47151990	0	0.009	0	0.019	-1.539
chr18	47177382	47178260	0.019	0.008	0.038	0.014	0.995
chr18	47192511	47193473	0	0.006	0	0.013	-1.173
chr18	47194129	47194931	0	0.006	0	0.017	-1.419
chr18	47209543	47210345	0	0.003	0	0.007	-0.802
chr18	47225767	47226591	0.006	0.003	0.006	0.007	-0.019
chr18	47246167	47247092	0	0.003	0	0.006	-0.64
chr18	47255915	47256778	0.013	0.007	0.019	0.015	0.215
chr18	47366245	47366791	0	0.003	0	0.006	-0.64
chr18	47368548	47369443	0	0.009	0	0.019	-1.539
chr18	47408987	47409875	0.019	0.003	0.025	0.007	1.012
chr18	47432409	47433270	0.025	0.008	0.069	0.017	1.542
chr18	47518914	47519781	0	0.002	0	0.005	-0.551
chr18	47533194	47534091	0	0.007	0	0.012	-1.143
chr18	47537096	47537867	0	0.004	0	0.007	-0.763
chr18	47550972	47551819	0	0.007	0	0.011	-1.081
chr18	47588554	47589459	0.006	0.003	0.019	0.007	0.766
chr18	47606066	47606971	0	0.005	0	0.01	-0.983
chr18	47622947	47623756	0.006	0.003	0.006	0.006	0.022
chr18	47661586	47662507	0	0.005	0	0.009	-0.948
chr18	47711740	47712553	0.006	0.004	0.013	0.008	0.298
